French,English
catastrophe,"catastrophe, disaster"
manifestation,"demonstration, event"
dormir,(to) sleep | sleeping
lit,bed
bouche,mouth
content,"glad, pleased (m)"
triste,"sad (m, f)"
logement,accommodation
plainte,"moan, complaint"
chaud,"hot, warm (m)"
émotion,"emotion, feeling"
progresser,(to) progress | progressing
strict,strict (m)
club,club
souffrance,suffering
passion,passion
rendez-vous,appointment
argument,argument
planète,planet
attentat,"attack, assassination attempt"
boire,(to) drink | drinking
bois**| bois !,(I) drink | (I) am drinking | (I) have been drinking | (you (sing informal)) drink | (you (sing informal)) are drinking | (you (sing informal)) have been drinking | drink! (sing informal)
boit,"(she, he, it, one) drinks | (she, he, it, one) is drinking | (she, he, it, one) has been drinking | (we (informal, impersonal)) drink | (we (informal, impersonal)) are drinking | (we (informal, impersonal)) have been drinking"
(aux) bu,"drank | (have, has) drunk"
richesse,wealth
caisse,checkout
héros,hero (m)
héroïne,hero (f)
oreille,ear
incident,incident
café,"café, coffee"
annonce,announcement
régulièrement,regularly
pont,bridge
bouger,(to) move|moving
chrétien,Christian (m)
égalité,equality
préserver,"(to) preserve, protect | preserving, protecting"
match,match
tragédie,tragedy
scandale,"scandal, uproar"
chinois,Chinese (m)
billet,ticket
choc,"shock, clash"
destruction,destruction
adresse,address
réception,reception
brûler,"(to) burn, be on fire | burning, being on fire"
grandir,"(to) get bigger, get taller, grow | getting bigger, getting taller, growing"
poche,pocket
honte,shame
bonheur,happiness
crier,"(to) shout, scream, cry out | shouting, screaming, crying out"
pauvreté,poverty
bâtiment,building
médicament,"medicine, drug"
électeur,"elector, voter"
véhicule,vehicle
chercheur,researcher (m)
personnalité,personality
inventer,"(to) invent, make up |  inventing, making up"
stade,"stadium, stage"
québécois,from Quebec (m)
bonjour,"hello, good morning"
dame,lady
joie,joy
faim,hunger
excuser (de/pour + noun); s'excuser (de/pour + noun),"(to) excuse (for + noun), forgive (for + noun) | excusing (for + noun), forgiving (for + noun); (to) apologise (for + noun) | apologising (for + noun)"
recommander,(to) recommend | recommending
scolaire,"school (m, f)"
arabe,"Arabic, Arab (m, f)"
diffuser,"(to) diffuse, broadcast | diffusing, broadcasting"
inquiétant,"worrying, disturbing (m)"
inclure,(to) include | including
(aux) inclus,"included | (have, has) included"
style,style
annuler,"(to) cancel, undo | cancelling, undoing"
climat,climate
séjour,stay
sport,sport
normalement,normally
blesser,"(to) hurt, injure | hurting, injuring"
anniversaire,birthday
adolescent/ado,"teenager, adolescent"
dessiner,(to) draw | drawing
publicité/pub,advert
arbre,tree
aéroport,airport
collège,secondary school
peau,skin
enseigner (à ... à + infinitive),(to) teach (someone + verb) | teaching (someone + verb)
chanson,song
coucher; se coucher,"(to) lie down; sleep │ lying down, sleeping; (to) go to bed, set (sun) | going to bed, setting (sun)"
drôle,"funny (m, f)"
plat,dish
maman,"mum, mummy"
célébrer,(to) celebrate | celebrating
verre,glass
casser; se casser,(to) break | breaking; (to) break a body part | breaking a body part
plastique,plastic
voyager,(to) travel (around) | travelling (around)
ordinateur,computer
salut,"hi, bye"
enfance,childhood
musée,museum
pluie,rain
rivière,river
suisse,"Swiss (m, f)"
musulman,Muslim (m)
dieu,god
étage,floor
cinquante,fifty
jardin,garden
nourriture,food
africain,African (m)
circulation,traffic
cheveux,hair
cadeau,"present, gift"
fleur,flower
vin,wine
adorer,"(to) really like, love, adore | really liking, loving, adoring"
appartement,"apartment, flat"
restaurant,restaurant
sac,"bag, sack"
dîner,dinner
numérique,"digital (m, f)"
vêtement,"garment, item or article of clothing"
heureusement,"fortunately, luckily"
tabac,tobacco
joli,"pretty, attractive (m)"
écran,screen
oiseau,bird
quarante,forty
feuille,"leaf, sheet"
onze,eleven
alcool,alcohol
gratuit,free (of charge) (m)
jambe,leg
week-end,weekend
midi,noon
lait,milk
intelligent,intelligent (m)
bibliothèque,library
diversité,diversity
accueil,"welcome, reception"
tranquille,"quiet (m, f)"
glace,"ice cream, ice"
gare,"station, railway station"
informatique,"computer science, computing"
foot(ball),"football, soccer"
vidéo,video
cuisine,"cooking, kitchen"
fumer,(to) smoke | smoking
viande,meat
paysage,"landscape, scenery, countryside"
lentement,slowly
touriste,tourist
sportif,"athletic, competitive, sporty, sporting (m)"
mentir,(to) lie | lying
tournée,"tour, round"
plage,beach
plante,plant
formidable,"terrific, astounding (m,f)"
déjeuner,lunch
disputer; se disputer,"(to) scold, tell off | scolding, telling off; (to) argue | arguing"
salon,"lounge, living room"
gris,"grey (m,f)"
ranger,"(to) tidy, put away | tidying, putting away"
étoile,star
belge,"Belgian (m, f)"
pain,bread
lycée,"college, sixth form"
gentil,kind (m)
agréable,"pleasant, nice, agreeable (m, f)"
cigarette,cigarette
déchets,rubbish
affiche,poster
détester,"(to) hate, detest | hating, detesting"
sale,"dirty (m, f)"
chapeau,hat
boulot,"work, job"
danser,(to) dance | dancing
banlieue,"suburbs, outskirts"
repas,meal
rentrée,"reopening, return, start of the school year"
super,great
poster,(to) post | posting
copain,"friend (m), boyfriend"
copine,"friend, girlfriend"
poème,poem
pollution,pollution
légume,vegetable
francophone,"French-speaking (m, f)"
lac,lake
Mademoiselle,"Miss, Ms, (sing), miss"
soixante,sixty
allumer,(to) turn on | turning on
métro,"underground, metro"
fatigué,tired (m)
treize,thirteen
chanteur,singer
seize,sixteen
star,"star, celebrity"
quatorze,fourteen
célibataire,"single, unmarried (m, f)"
cousin,cousin
inconvénient,"snag, drawback, disadvantage, inconvenience"
chaise,chair
maths,mathematics/maths
temple,temple
minuit,midnight
bain,"bath, bathing"
marocain,Moroccan (m)
laver; se laver,(to) wash (something) | washing (something); (to) get washed | getting washed
château,"castle, palace"
thé,tea
bagage,"luggage, baggage"
handicapé,disabled (m)
boisson,"drink, beverage"
oncle,uncle
apprentissage,apprenticeship
bienvenue !,welcome
couteau,knife
manteau,coat
timide,"timid, shy, bashful (m, f)"
festival,festival
génial,"great, brilliant (m)"
nettoyer,(to) clean | cleaning
tante,aunt
handicap,disability
bonsoir,good evening
joyeux,"merry, joyful, happy (m)"
harceler,"(to) bully, harass | bullying, harassing"
cahier,exercise book
portable,"mobile phone, laptop"
stage,work experience
dictionnaire,dictionary
sympathique/sympa,"nice, kind, friendly (m, f)"
toilette,"washing, toilet, lavatory, bathroom, restroom"
autobus/bus,bus
poulet,chicken
valise,suitcase
affreux,"dreadful, awful, horrible (m)"
serveur,"waiter, server"
interdit,"prohibited, banned (m)"
brouillard,"fog, mist, haze"
fromage,cheese
bénévole,volunteer
météo,weather forecast
vélo,"bike, bicycle"
est**,east
soif,thirst
pantalon,trousers
raciste,"racist (m, f)"
blague,joke
gâteau,cake
addition,bill
Afrique,Africa
aidant,carer
amusant,"funny, fun, enjoyable, amusing (m)"
Angleterre,England
Asie,Asia
bavard,"chatty, talkative (m)"
beau-père,"step-father, father-in-law"
belle-mère,"step-mother, mother-in-law"
bi(sexuel),bi(sexual) (m)
blog,blog
bouddhiste,"Buddhist (m, f)"
boulangerie,bakery
brun,brown (m)
camping,camping
célébrité,celebrity
chatter/tchatter,(to) chat | chatting
cliquer,(to) click | clicking
Corse,Corsica
défilé,"parade, procession"
désolé,sorry (m)
embêtant,annoying (m)
enchanté !,pleased to meet you!
ennuyeux,boring (m)
équilibré,balanced (m)
Europe,Europe
fast-food,fast food
félicitations,congratulations
férié,public holiday (m)
frites,chips
gay,"gay (m, f)"
géographie,geography
hétéro,"straight, heterosexual (m, f)"
influenceur,influencer
internet,internet
Londres,London
mail/e-mail,e-mail
méchant,"nasty, naughty, mean (m)"
mosquée,mosque
nager,(to) swim | swimming
natation,swimming
non-binaire,"non-binary (m, f)"
PACS,civil partnership
parce que/qu',because
paresseux,"lazy (m) (mpl, mixed gender pl)"
passe-temps,hobby
passionnant,"exciting, thrilling (m)"
petit-déjeuner,breakfast
piscine,swimming pool
polluer,(to) pollute │ polluting
poubelle,rubbish bin
promenade,walk
queer,"queer (m, f)"
recharger,(to) charge (an appliance) | charging (an appliance)
réchauffement,warming
récré(ation),break (time)
recyclage,recycling
recycler,(to) recycle | recycling
sabbatique,"sabbatical, gap (m, f)"
se relaxer,(to) relax │ relaxing
selfie,selfie
shopping,shopping
SMS,SMS
streaming,streaming
stylo,pen
supermarché,supermarket
synagogue,synagogue
télécharger,(to) download | downloading
ticket,ticket
toi-même,yourself [singular]
transgenre,"trans (m, f)"
Tunisie,Tunisia
vapoter,(to) vape │ vaping
végan,vegan (m)
végétarien,vegetarian (m)
à cause de,because of
à gauche,on the left
au revoir,goodbye
aussi…que/qu',as…as
ça m'est égal,I'm not bothered
ça va / ça va ?,"It's fine, I'm fine, it's OK/how's it going?, how are you? "
en ce moment,at the moment
en retard,late 
est-ce que/est-ce qu' ?,questioning device
feu d'artifice,firework display
il est + time,it is/it's + time
il fait (beau),it is/it's (nice)
il faut + infinitive,"it is/it’s necessary + verb, must + verb"
il pleut,it rains | it's raining
mariage du même sexe,same sex marriage
par contre,on the other hand
s'il te plaît/s'il vous plaît,please (informal)/please (formal)
tout le monde,"everyone, everybody"
après avoir + pp,after having + pp
en plus,"in addition, also"
être en train de + infinitive,(to) be in the middle of + verb | being in the middle of + verb
il est (difficile) de + infinitive,it is/it's (difficult) + verb
il manque…,…is missing
il vaut la peine de + infinitive,it is/it's worth + verb
il vaut mieux + infinitive,it is/it's better + verb
il y a | il y avait | il y aura,there is | there are | there was | there were | there used to be | there is going to be | there will be
il y (en) a | il y (en) avait | il y (en) aura,"there is (of it (m, f)) | there are (of them (m, f)) | there was (of it (m, f)) | there were (of them (m, f)) | there used to be (of it (m, f)) | there used to be (of them (m, f)) | there was (of it (m, f)) | there were (of them (m, f)) | there is going to be (of it (m, f)) | there are going to be (of them (m, f)) | there will be (of it (m, f) | there will be (of them (m, f)) "
ne… ni,neither…nor
ne… plus,"not anymore, no longer"
venir de + infinitive,(to) have just + pp
Fête Nationale,"Bastille Day, French national holiday"
Pyrénées,the Pyrenees
Méditerranée,the Mediterranean
Aïd,Eid
Alpes,Alps
baccalauréat/bac,high school final exam (like A levels)
Belgique,Belgium
Canada,Canada
France,France
La Réunion,Reunion Island
le Tour de France,Tour de France
Manche,English Channel
Maroc,Morocco
Noël,Christmas
Pâques,Easter
Paris,Paris
Québec,Quebec
Saint Valentin,Valentine's Day
Sénégal,Senegal
Suisse,Switzerland
